,Company ID,Company Name,Location
0,1341,Stratus Equity Group,Atlanta
1,6926,NovaVest Partners,New York
2,4099,Lexington Financial Strategies,New York
3,6145,Bellwether Capital Group,Atlanta
4,207,RegalStone Capital,Hong Kong
5,8241,Fortivo,New York
6,3919,Astoria Investment Management,Chicago
7,4000,Axis Wealth Innovations,New York
8,3009,Silverstone Wealth Advisors,Atlanta
9,3800,Silvergate Wealth Strategies,Chicago
10,1263,Arcadia,New York
11,9256,Altura Financial Management,Atlanta
12,5136,Vanguard Bridge Investments,New York
13,4497,Vector Growth Partners,New York
14,9530,Prosperium,London
15,9046,BlueRock Asset Management,New York
16,1691,Quantum Equity Solutions,Chicago
17,2225,Vertex Financial Strategies,Atlanta
18,5169,Sovereign Wealth Partners,New York
19,9270,CoreVest,Chicago
20,2512,Oakbridge Financial Solutions,Chicago
21,2218,Polaris Asset Management,Chicago
22,2073,HorizonEdge Capital,Atlanta
23,6732,Pinnacle Strategies Group,New York
24,4827,Crestview Investments,Atlanta
25,7675,Apex Capital Partners,Chicago
26,3109,EdgePoint Investment Group,London
27,104,Orion Wealth Partners,Atlanta
28,2463,Ascendant,New York
29,5238,Velocity Capital Advisors,New York
30,3407,Sterling Crest Capital,London
31,5427,Montclair Asset Advisors,London
32,9296,Ironclad Financial Group,New York
33,837,Elevate Capital Advisors,Hong Kong
34,8938,Momentum Wealth Group,Atlanta
35,4173,Altivar,London
36,7160,Catalyst Wealth Partners,New York
37,6752,Westward Growth Partners,London
38,2539,NorthPoint Wealth Strategies,New York
39,9211,Summit Equity Partners,Atlanta
40,8275,Frontier Capital Innovations,Chicago
41,128,Keystone Capital Management,Atlanta
42,9804,Nexus Wealth Solutions,Atlanta
43,2789,Horizon Growth Capital,New York
44,4621,Zenith,Atlanta
